stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
260007226,,"Loughborough Endowed Schs",,52.766176738,-1.1994243996,,,,,,
260007307,,"Station Boulevard, stand W",,52.7806585228,-1.199321837,,,,,,
260007312,,"Station Boulevard, stand V",,52.7800846344,-1.198205624,,,,,,
260007334,,"Station Boulevard, stand X",,52.7808119293,-1.1994079771,,,,,,
260007342,,"The Coneries",,52.7738162736,-1.2018339215,,,,,,
260007343,,"The Greyhound",,52.7754744857,-1.1997727126,,,,,,
260007345,,"Morley Street",,52.7769748421,-1.1969730228,,,,,,
260007346,,"The Greyhound",,52.7754459205,-1.1995360527,,,,,,
260007348,,"Loughborough Station, stand R",,52.7791653564,-1.1965324354,,,,,,
260007423,,"Beacon Bingo",,52.7731764627,-1.2029425376,,,,,,
260007451,,"Loughborough Station, stand T",,52.7775365098,-1.1962807527,,,,,,
260007454,,"Loughborough, Baxter Gate BA",,52.772158274,-1.2052734945,,,,,,
260007462,,"Station Boulevard, stand U",,52.7799138507,-1.1982087618,,,,,,
260007487,,"Meadow Lane",,52.7810826889,-1.200900425,,,,,,
3300BR0026,,"Cator Lane Top",,52.9245656928,-1.2336044458,,,,,,
3300BR0028,,"Mottram Road",,52.9245611164,-1.2370852375,,,,,,
3300BR0038,,"Mottram Road",,52.924628631,-1.2363998077,,,,,,
3300BR0052,,"Cator Lane Top",,52.9244274122,-1.2330713946,,,,,,
3300BR0075,,"Cator Lane",,52.9197801154,-1.2275611596,,,,,,
3300BR0079,,"Cator Lane",,52.919710039,-1.226461791,,,,,,
3300BR0080,,"High Road, Nottingham College",,52.9210469304,-1.2233145089,,,,,,
3300BR0081,,"High Road, Nottingham College",,52.9209865372,-1.2237023033,,,,,,
3300BR0095,,"Collin Street",,52.9242319379,-1.2182447426,,,,,,
3300BR0096,,"Ellis Grove",,52.9230735054,-1.2197976593,,,,,,
3300BR0097,,"Wilmot Lane",,52.9223784554,-1.220732344,,,,,,
3300BR0154,,"Bramcote La, Hallams Lane",,52.9188753322,-1.2363968775,,,,,,
3300BR0155,,"Sandby Court",,52.9220884243,-1.2369948226,,,,,,
3300BR0161,,"Oak Acre",,52.9226577538,-1.2501782083,,,,,,
3300BR0163,,"Gt Hogget Drive",,52.9231472451,-1.2465552907,,,,,,
3300BR0175,,"Greenwood Court",,52.9233114553,-1.2314846724,,,,,,
3300BR0197,,"Chilwell, Blandford Rd",,52.9224717279,-1.239293574,,,,,,
3300BR0198,,"Wentworth Road",,52.923024271,-1.2427644789,,,,,,
3300BR0207,,"Valley Road",,52.9200719724,-1.2521117696,,,,,,
3300BR0208,,"Eskdale Drive",,52.918319398,-1.2521717006,,,,,,
3300BR0209,,"Caldbeck Court",,52.9167006914,-1.2492251516,,,,,,
3300BR0210,,"Kirkbride Court",,52.9173085778,-1.2472663658,,,,,,
3300BR0211,,"Field La, Burton Drive",,52.9181160562,-1.2413628125,,,,,,
3300BR0213,,"Jessamine Court",,52.9258731029,-1.2122055657,,,,,,
3300BR0227,,"Field Lane, School Lane",,52.9184393845,-1.2371035624,,,,,,
3300BR0241,,"Resource Centre",,52.9279778627,-1.2083293512,,,,,,
3300BR0254,,"City Road",,52.9272838016,-1.2107518878,,,,,,
3300BR0441,,"Rivergreen Crescent",,52.9447600177,-1.235613925,,,,,,
3300BR0442,,"Deddington Lane",,52.9440456813,-1.2391683119,,,,,,
